modelo,tipo,imagen_idx,paso,prob
ViT,deletion,0,0,0.6309167146682739
ViT,deletion,0,1,0.5181825757026672
ViT,deletion,0,2,0.4499896168708801
ViT,deletion,0,3,0.5149642825126648
ViT,deletion,0,4,0.5365115404129028
ViT,deletion,0,5,0.5019461512565613
ViT,deletion,0,6,0.5314880609512329
ViT,deletion,0,7,0.49677905440330505
ViT,deletion,0,8,0.4726896584033966
ViT,deletion,0,9,0.4709240794181824
ViT,deletion,0,10,0.4944594204425812
ViT,deletion,0,11,0.4569047689437866
ViT,deletion,0,12,0.45587149262428284
ViT,deletion,0,13,0.4600754976272583
ViT,deletion,0,14,0.4893912971019745
ViT,deletion,0,15,0.4664182960987091
ViT,deletion,0,16,0.447893351316452
ViT,deletion,0,17,0.4585852324962616
ViT,deletion,0,18,0.4632624387741089
ViT,deletion,0,19,0.4339146316051483
ViT,deletion,0,20,0.421383261680603
ViT,deletion,0,21,0.433637410402298
ViT,deletion,0,22,0.4561428427696228
ViT,deletion,0,23,0.4619103670120239
ViT,deletion,0,24,0.4532322287559509
ViT,deletion,0,25,0.45821595191955566
ViT,deletion,0,26,0.4378169775009155
ViT,deletion,0,27,0.4681447744369507
ViT,deletion,0,28,0.37659552693367004
ViT,deletion,0,29,0.3768470287322998
ViT,deletion,0,30,0.3799171447753906
ViT,deletion,0,31,0.36281999945640564
ViT,deletion,0,32,0.36338138580322266
ViT,deletion,0,33,0.3335583806037903
ViT,deletion,0,34,0.47097113728523254
ViT,deletion,0,35,0.3531836271286011
ViT,deletion,0,36,0.4008835256099701
ViT,deletion,0,37,0.2926338315010071
ViT,deletion,0,38,0.36161819100379944
ViT,deletion,0,39,0.30637502670288086
ViT,deletion,0,40,0.27501121163368225
ViT,deletion,0,41,0.2188110053539276
ViT,deletion,0,42,0.29455313086509705
ViT,deletion,0,43,0.21984872221946716
ViT,deletion,0,44,0.28719571232795715
ViT,deletion,0,45,0.24264827370643616
ViT,deletion,0,46,0.40521711111068726
ViT,deletion,0,47,0.24933883547782898
ViT,deletion,0,48,0.4112184941768646
ViT,deletion,0,49,0.562684178352356
ViT,deletion,1,0,0.6389540433883667
ViT,deletion,1,1,0.5838757157325745
ViT,deletion,1,2,0.601933479309082
ViT,deletion,1,3,0.5685364007949829
ViT,deletion,1,4,0.5556137561798096
ViT,deletion,1,5,0.5137065052986145
ViT,deletion,1,6,0.507439911365509
ViT,deletion,1,7,0.49152329564094543
ViT,deletion,1,8,0.4658832550048828
ViT,deletion,1,9,0.4359875023365021
ViT,deletion,1,10,0.4376814365386963
ViT,deletion,1,11,0.43408316373825073
ViT,deletion,1,12,0.4275449216365814
ViT,deletion,1,13,0.4139099419116974
ViT,deletion,1,14,0.3712365925312042
ViT,deletion,1,15,0.40233421325683594
ViT,deletion,1,16,0.37639686465263367
ViT,deletion,1,17,0.39071932435035706
ViT,deletion,1,18,0.3693125545978546
ViT,deletion,1,19,0.4064030647277832
ViT,deletion,1,20,0.41212010383605957
ViT,deletion,1,21,0.44114384055137634
ViT,deletion,1,22,0.39645904302597046
ViT,deletion,1,23,0.4589351713657379
ViT,deletion,1,24,0.4703467786312103
ViT,deletion,1,25,0.47381433844566345
ViT,deletion,1,26,0.3973577618598938
ViT,deletion,1,27,0.3572314977645874
ViT,deletion,1,28,0.3614501655101776
ViT,deletion,1,29,0.3104000389575958
ViT,deletion,1,30,0.36113855242729187
ViT,deletion,1,31,0.2904287576675415
ViT,deletion,1,32,0.24528257548809052
ViT,deletion,1,33,0.2739551365375519
ViT,deletion,1,34,0.38313111662864685
ViT,deletion,1,35,0.298552006483078
ViT,deletion,1,36,0.3208334743976593
ViT,deletion,1,37,0.1603192836046219
ViT,deletion,1,38,0.254821240901947
ViT,deletion,1,39,0.29341891407966614
ViT,deletion,1,40,0.513435959815979
ViT,deletion,1,41,0.3463519811630249
ViT,deletion,1,42,0.3814033567905426
ViT,deletion,1,43,0.3712425231933594
ViT,deletion,1,44,0.42262405157089233
ViT,deletion,1,45,0.45015570521354675
ViT,deletion,1,46,0.5944223403930664
ViT,deletion,1,47,0.41028109192848206
ViT,deletion,1,48,0.5531708002090454
ViT,deletion,1,49,0.5785059928894043
ViT,deletion,2,0,0.6684331893920898
ViT,deletion,2,1,0.6289833188056946
ViT,deletion,2,2,0.5921159386634827
ViT,deletion,2,3,0.5824534893035889
ViT,deletion,2,4,0.5522080659866333
ViT,deletion,2,5,0.5355590581893921
ViT,deletion,2,6,0.5280562043190002
ViT,deletion,2,7,0.5720639824867249
ViT,deletion,2,8,0.5244973301887512
ViT,deletion,2,9,0.5240565538406372
ViT,deletion,2,10,0.524982750415802
ViT,deletion,2,11,0.481415718793869
ViT,deletion,2,12,0.5380745530128479
ViT,deletion,2,13,0.5385149717330933
ViT,deletion,2,14,0.5503471493721008
