imagen_idx,y0,y1,x0,x1,score_abs,score_pct
0,96,112,32,48,0.01107080653309822,0.02636373517391034
0,96,112,16,32,0.008538573980331421,0.02033354141880224
0,80,96,32,48,0.008114181458950043,0.019322903936335498
0,96,112,0,16,0.007694497238844633,0.018323478681955982
0,96,112,176,192,0.007347322069108486,0.01749672462329575
0,80,96,16,32,0.00698461290448904,0.016632978307018896
0,96,112,48,64,0.006748187355697155,0.016069960559571064
0,80,96,0,16,0.006608090363442898,0.015736337169855938
1,96,112,176,192,0.007738809566944838,0.015893721971371864
1,128,144,32,48,0.007551152259111404,0.015508317336356636
1,48,64,144,160,0.007266287691891193,0.01492327151093253
1,32,48,144,160,0.00719748018309474,0.014781956828759095
1,80,96,160,176,0.0062648518942296505,0.01286655438893528
1,64,80,144,160,0.006132951006293297,0.01259566052308905
1,0,16,144,160,0.006109124980866909,0.012546727386728214
1,32,48,128,144,0.0060594771057367325,0.012444762153320884
2,80,96,32,48,0.006631573662161827,0.018205681520109738
2,64,80,32,48,0.006049479823559523,0.01660765734360424
2,208,224,208,224,0.00600393395870924,0.01648262012736198
2,0,16,176,192,0.005774271674454212,0.015852127484539562
2,0,16,0,16,0.005720649380236864,0.015704918019542016
2,192,208,208,224,0.005263054743409157,0.01444868192117381
2,96,112,32,48,0.004811184946447611,0.013208162244980276
2,16,32,176,192,0.0047841486521065235,0.013133939415025716
3,144,160,96,112,0.004529152996838093,0.013953291758951401
3,96,112,0,16,0.004100795369595289,0.01263361919450863
3,96,112,16,32,0.004087165463715792,0.01259162855000701
3,96,112,32,48,0.004046275746077299,0.01246565661650215
3,80,96,32,48,0.003941567614674568,0.012143074644107554
3,176,192,32,48,0.003920724615454674,0.012078862097203128
3,112,128,64,80,0.0038898431230336428,0.011983723232606743
3,144,160,80,96,0.003816033247858286,0.011756331770288618
